Timestamp,ActiveRequests,EventLoopLag_ms,PoolSize
2026-02-05T18:26:27.440Z,2,19.87,0
2026-02-05T18:26:27.490Z,3,20.36,0
2026-02-05T18:26:27.597Z,3,19.90,0
2026-02-05T18:26:27.778Z,3,180.68,0
2026-02-05T18:26:27.828Z,2,20.23,0
2026-02-05T18:26:27.879Z,2,20.26,0
2026-02-05T18:26:27.929Z,2,20.54,0
2026-02-05T18:26:27.980Z,2,20.34,0
2026-02-05T18:26:28.096Z,2,57.71,0
2026-02-05T18:26:28.146Z,1,20.29,0
2026-02-05T18:26:28.196Z,1,20.24,0
2026-02-05T18:26:28.247Z,1,19.87,0
2026-02-05T18:26:28.297Z,3,20.39,0
2026-02-05T18:26:28.347Z,1,20.66,0
2026-02-05T18:26:28.397Z,1,20.34,0
2026-02-05T18:26:28.447Z,1,19.96,0
2026-02-05T18:26:28.497Z,1,20.26,0
2026-02-05T18:26:28.548Z,1,20.08,0
2026-02-05T18:26:28.687Z,1,20.31,0
2026-02-05T18:26:28.738Z,1,19.98,0
2026-02-05T18:26:28.887Z,4,20.49,0
2026-02-05T18:26:29.091Z,6,204.54,0
2026-02-05T18:26:29.142Z,4,20.24,0
2026-02-05T18:26:29.192Z,4,20.51,0
2026-02-05T18:26:29.243Z,4,20.46,0
2026-02-05T18:26:29.293Z,4,20.14,0
2026-02-05T18:26:29.343Z,4,20.12,0
2026-02-05T18:26:29.394Z,4,20.44,0
2026-02-05T18:26:29.444Z,4,20.77,0
2026-02-05T18:26:29.494Z,3,20.36,0
2026-02-05T18:26:29.544Z,3,20.39,0
2026-02-05T18:26:29.594Z,3,20.13,0
2026-02-05T18:26:29.644Z,3,20.21,0
2026-02-05T18:26:29.694Z,3,19.65,0
2026-02-05T18:26:29.744Z,3,20.29,0
2026-02-05T18:26:29.794Z,3,20.32,0
2026-02-05T18:26:29.844Z,3,20.33,0
2026-02-05T18:26:29.894Z,3,20.32,0
2026-02-05T18:26:29.945Z,3,20.25,0
2026-02-05T18:26:29.995Z,3,20.39,0
2026-02-05T18:26:30.045Z,3,20.25,0
2026-02-05T18:26:30.095Z,4,20.32,0
2026-02-05T18:26:30.146Z,3,20.37,0
2026-02-05T18:26:30.196Z,3,20.47,0
2026-02-05T18:26:30.247Z,3,20.32,0
2026-02-05T18:26:30.298Z,3,20.52,0
2026-02-05T18:26:30.348Z,3,19.70,0
2026-02-05T18:26:30.399Z,3,20.36,0
2026-02-05T18:26:30.448Z,5,19.55,0
2026-02-05T18:26:30.498Z,5,20.44,0
2026-02-05T18:26:30.549Z,5,20.57,0
2026-02-05T18:26:30.599Z,5,20.34,0
2026-02-05T18:26:30.649Z,5,20.41,0
2026-02-05T18:26:30.699Z,6,19.91,0
2026-02-05T18:26:30.749Z,6,20.34,0
2026-02-05T18:26:30.800Z,4,19.96,0
2026-02-05T18:26:30.851Z,4,20.29,0
2026-02-05T18:26:30.902Z,4,20.29,0
2026-02-05T18:26:30.953Z,4,20.54,0
2026-02-05T18:26:31.003Z,4,20.37,0
2026-02-05T18:26:31.054Z,4,20.32,0
2026-02-05T18:26:31.103Z,4,20.12,0
2026-02-05T18:26:31.154Z,5,20.34,0
2026-02-05T18:26:31.290Z,5,19.59,0
2026-02-05T18:26:31.496Z,6,103.22,0
2026-02-05T18:26:31.698Z,12,NaN,0
2026-02-05T18:26:31.901Z,9,NaN,0
2026-02-05T18:26:32.087Z,9,NaN,0
2026-02-05T18:26:32.287Z,5,NaN,0
2026-02-05T18:26:32.337Z,6,20.13,0
2026-02-05T18:26:32.387Z,6,20.37,0
2026-02-05T18:26:32.438Z,4,20.46,0
2026-02-05T18:26:32.488Z,4,20.32,0
2026-02-05T18:26:32.590Z,4,101.35,0
2026-02-05T18:26:32.640Z,4,20.32,0
2026-02-05T18:26:32.689Z,4,20.37,0
2026-02-05T18:26:32.740Z,3,20.60,0
2026-02-05T18:26:32.791Z,3,20.49,0
2026-02-05T18:26:32.842Z,3,20.36,0
2026-02-05T18:26:32.893Z,3,20.49,0
2026-02-05T18:26:32.994Z,4,99.71,0
2026-02-05T18:26:33.044Z,3,20.32,0
2026-02-05T18:26:33.094Z,5,20.41,0
2026-02-05T18:26:33.144Z,3,20.39,0
2026-02-05T18:26:33.194Z,3,20.32,0
2026-02-05T18:26:33.245Z,3,20.35,0
2026-02-05T18:26:33.297Z,7,20.24,0
2026-02-05T18:26:33.396Z,3,96.63,0
2026-02-05T18:26:33.446Z,3,20.18,0
2026-02-05T18:26:33.497Z,3,20.31,0
2026-02-05T18:26:33.548Z,3,20.43,0
2026-02-05T18:26:33.599Z,3,20.39,0
2026-02-05T18:26:33.649Z,3,20.21,0
2026-02-05T18:26:33.790Z,4,20.32,0
2026-02-05T18:26:33.841Z,6,20.25,0
2026-02-05T18:26:33.892Z,6,20.39,0
2026-02-05T18:26:33.942Z,6,20.30,0
2026-02-05T18:26:33.992Z,6,20.23,0
2026-02-05T18:26:34.043Z,6,20.62,0
2026-02-05T18:26:34.093Z,6,20.50,0
2026-02-05T18:26:34.189Z,7,94.27,0
2026-02-05T18:26:34.381Z,14,NaN,0
2026-02-05T18:26:34.575Z,14,194.18,0
2026-02-05T18:26:34.625Z,7,19.31,0
2026-02-05T18:26:34.676Z,7,20.36,0
2026-02-05T18:26:34.726Z,7,20.20,0
2026-02-05T18:26:34.776Z,7,20.41,0
2026-02-05T18:26:34.827Z,8,19.98,0
2026-02-05T18:26:34.878Z,8,20.36,0
2026-02-05T18:26:34.927Z,8,20.46,0
2026-02-05T18:26:34.978Z,9,20.36,0
2026-02-05T18:26:35.028Z,9,20.42,0
2026-02-05T18:26:35.079Z,9,20.46,0
2026-02-05T18:26:35.129Z,7,19.91,0
2026-02-05T18:26:35.179Z,7,20.37,0
2026-02-05T18:26:35.229Z,7,20.09,0
2026-02-05T18:26:35.279Z,7,20.28,0
2026-02-05T18:26:35.329Z,7,20.38,0
2026-02-05T18:26:35.379Z,7,20.49,0
2026-02-05T18:26:35.497Z,10,NaN,0
2026-02-05T18:26:35.548Z,8,19.55,0
2026-02-05T18:26:35.597Z,9,22.26,0
2026-02-05T18:26:35.648Z,9,20.33,0
2026-02-05T18:26:35.698Z,8,19.55,0
2026-02-05T18:26:35.749Z,8,20.37,0
2026-02-05T18:26:35.800Z,7,20.29,0
2026-02-05T18:26:35.850Z,6,20.31,0
2026-02-05T18:26:35.901Z,6,20.41,0
2026-02-05T18:26:35.952Z,6,20.40,0
2026-02-05T18:26:36.001Z,6,19.52,0
2026-02-05T18:26:36.051Z,6,20.41,0
2026-02-05T18:26:36.101Z,7,20.32,0
2026-02-05T18:26:36.152Z,6,20.35,0
2026-02-05T18:26:36.202Z,6,20.50,0
2026-02-05T18:26:36.253Z,6,20.38,0
2026-02-05T18:26:36.303Z,6,20.37,0
2026-02-05T18:26:36.353Z,6,20.39,0
2026-02-05T18:26:36.403Z,5,20.60,0
2026-02-05T18:26:36.454Z,5,20.43,0
2026-02-05T18:26:36.596Z,8,20.32,0
2026-02-05T18:26:36.913Z,14,317.33,0
2026-02-05T18:26:36.968Z,14,NaN,0
2026-02-05T18:26:37.481Z,12,512.88,0
2026-02-05T18:26:37.684Z,13,NaN,0
2026-02-05T18:26:37.734Z,4,20.04,0
2026-02-05T18:26:37.784Z,4,20.16,0
2026-02-05T18:26:37.835Z,4,20.13,0
2026-02-05T18:26:37.885Z,4,20.36,0
2026-02-05T18:26:37.936Z,5,20.41,0
2026-02-05T18:26:37.986Z,5,20.28,0
2026-02-05T18:26:38.036Z,5,20.56,0
2026-02-05T18:26:38.086Z,5,20.34,0
2026-02-05T18:26:38.136Z,4,20.63,0
2026-02-05T18:26:38.186Z,4,20.29,0
2026-02-05T18:26:38.236Z,4,20.33,0
2026-02-05T18:26:38.286Z,4,20.23,0
2026-02-05T18:26:38.337Z,4,19.87,0
2026-02-05T18:26:38.387Z,4,20.19,0
2026-02-05T18:26:38.437Z,4,20.22,0
2026-02-05T18:26:38.491Z,10,20.18,0
2026-02-05T18:26:38.542Z,5,19.91,0
2026-02-05T18:26:38.593Z,5,20.21,0
2026-02-05T18:26:38.642Z,5,20.31,0
2026-02-05T18:26:38.693Z,7,20.37,0
2026-02-05T18:26:38.744Z,6,20.62,0
2026-02-05T18:26:38.795Z,7,20.23,0
2026-02-05T18:26:38.845Z,6,20.37,0
2026-02-05T18:26:38.895Z,6,20.29,0
2026-02-05T18:26:38.945Z,6,20.26,0
2026-02-05T18:26:38.995Z,8,20.11,0
2026-02-05T18:26:39.045Z,8,20.23,0
2026-02-05T18:26:39.095Z,8,20.29,0
2026-02-05T18:26:39.145Z,8,20.00,0
